page_title,gt_lat,gt_lon,gt_type,cl_to
Naufrage_du_Titanic,41.7319,-49.9458,,Article_de_qualité
Expédition_Fram,78.8167,132.883,,Article_de_qualité
Collines_de_Mendip,51.3,-2.73333,,Article_de_qualité
Accident_sur_la_base_de_Fairchild_en_1994,47.615,-117.656,event,Article_de_qualité
Fort_de_Planoise,47.2076,5.98163,landmark,Article_de_qualité
Djerba,33.8,10.85,isle,Article_de_qualité
Grasse,43.6667,6.9167,city,Article_de_qualité
Belfort,47.6379,6.86281,city,Article_de_qualité
Annecy,45.916,6.133,city,Article_de_qualité
Parc_national_d'Abisko,68.317,18.683,landmark,Article_de_qualité
Parc_national_de_Sarek,67.2833,17.7,landmark,Article_de_qualité
Parc_national_de_Padjelanta,67.4116,16.7251,landmark,Article_de_qualité
Mont_Jefferson_(Oregon),44.6743,-121.8,mountain,Article_de_qualité
Sittelle_de_Chine,50.0867,87.7832,,Article_de_qualité
Phare_de_Pointe-au-Père,48.5174,-68.469,landmark,Article_de_qualité
Épave_du_Titanic,41.7325,-49.9469,,Article_de_qualité
Trésor_de_Hoxne,52.3333,1.1833,landmark,Article_de_qualité
Cratères_de_Mono-Inyo,37.883,-119.0,,Article_de_qualité
Meurtres_rituels_de_Toa_Payoh,1.33694,103.857,,Article_de_qualité
Grand_Prix_automobile_de_France_1906,47.9377,0.225611,,Article_de_qualité
Parc_national_de_Söderåsen,56.0167,13.2167,landmark,Article_de_qualité
Mosaïque_des_chevaux_de_Carthage,36.8578,10.3313,,Article_de_qualité
Théâtre_de_la_Reine,48.816,2.10805,,Article_de_qualité
Siège_de_Lorient,47.75,-3.36667,landmark,Article_de_qualité
Parc_national_de_Kosterhavet,58.8333,11.0167,landmark,Article_de_qualité
Parc_national_de_Färnebofjärden,60.1933,16.7736,landmark,Article_de_qualité
Parc_national_de_Hamra,61.7639,14.7556,landmark,Article_de_qualité
Parc_national_de_Skuleskogen,63.1111,18.4972,landmark,Article_de_qualité
Puits_Arthur-de-Buyer,47.6767,6.61422,landmark,Article_de_qualité
Puits_des_houillères_de_Ronchamp,47.7069,6.65349,,Article_de_qualité
Caixa_de_Rotllan,42.4811,2.60111,landmark,Article_de_qualité
Jardin_archéologique_de_l'hôpital_de_Lisieux,49.1461,0.23,,Article_de_qualité
Réserve_naturelle_régionale_de_la_carrière_des_Nerviens,50.2982,3.77638,landmark,Article_de_qualité
